#Menu	#Menu
User =	Felhasználó 
open =	megnyitás 
close =	bezárás 
Common Anode =	Közönséges anód  
Common Cathode =	Közönséges katód  
AC Amplitude =	AC amplitúdó  
AC Phase =	AC fázis  
"There are some parts haven't spice model, please use ""EElib"" and ""Spice Symbol"" at ""Libraries"" of ""Simulation"" mode, or you can assign the spice model for them: ="	"Vannak olyan    részek, amelyek  nem  fûszer  modell,      kérjük,   használja ""EElib"" és ""Spice  Symbol""  a  ""Könyvtárak"" a""Szimuláció""  mód,  vagy  hozzárendelheti    a  fûszer  modell õket: "
	
#Pin	#Pin
Pin Attributes =	Pin attribútumok  
Orientation =	Tájolás 
Line 45° =	Vonal 45° 
Line 90° =	Vonal 90° 
Arc 45° =	Ív 45° 
Arc 90° =	Ív 90° 
Free Angle =	Szabad szög  
Start X =	X indítása 
Start Y =	Y indítása 
Length =	Hossz 
Name =	Név 
name =	név 
Number =	Szám 
Spice Pin Order =	Fûszer kitûzõ  sorrend  
Display Number =	Megjelenítési szám  
Clock =	Óra 
Show =	Megjelenítés 
Electric =	Elektromos 
	
#Junction	#Junction
Junction Attributes =	Elágazás attribútumai  
X Location =	X hely  
Y Location =	Y Bérlés 
Size =	Méret 
Color =	Szín 
	
#Net Label	#Net címke
Net Label =	Nettó címke  
	
#Part	#Part
Prefix =	Elõtag 
	
#Image Attributes and Dialog	#Image attribútumok és párbeszédpanelek
Add Image =	Kép hozzáadása 
Image Attributes =	Képattribútumok  
Image URL =	Kép URL 
Input an image URL =	Kép URL-címének megadása 
Invalid image URL =	Érvénytelen kép URL 
Invalid Prefix =	Érvénytelen elõtag 
Failed to load the image =	Nem  sikerült betölteni  a  képet 
Image URL contains special characters =	A kép URL-címe speciális  karaktereket tartalmaz  
From Web URL =	A web URL -rõl 
From Local Computer =	A helyi számítógép 
Please select a png/gif/jpg file. =	Válasszon   egy  png/gif/jpg  fájlt. 
Please select an image file. =	Válasszon ki  egy képfájlt. 
Select an image file =	Képfájl kiválasztása 
Insert Image to PCB =	Kép beszúrása PCB-be  
Tolerance =	Tolerancia 
tolerance =	tolerancia 
capacitance =	kapacitás 
frequency =	frekvencia 
Rated Voltage =	Névleges feszültség  
Rated Current =	Névleges áram  
resistance =	ellenállás 
Resistance =	Ellenállás 
Resistance[?] =	Ellenállás[Oh] 
inductance =	induktûrés 
Operating Temperature =	Üzemi hõmérséklet  
Shape Invert =	Alakzat invertált  
Image Size =	Képméret   
Color Tolerance =	Színtûrés   
Simplify Level =	Szint egyszerûsítése 
Corner Threshold =	Sarokküszöb  
	
#PCB Canvas Attributes	#PCB vászon   attribútumok
Units =	Egységek 
Snap Size =	Illesztett méret  
Other =	Egyéb 
Routing Width =	Útválasztási szélesség  
[router]	[router]
Routing Width =	Útválasztási szélesség  
[/router]	[/router]
Please using hotkey {0}{shiftw}{1} or {2}{tab}{3} to change track width while on routing. =	Kérjük, használja  a gyorsbillentyû  {0}{shiftw}{1}  vagy  {2}{lap}{3}  változtatni    track  szélessége  útválasztás közben   . 
Routing Angle =	Útválasztási szög  
Routing Conflict =	Útválasztási ütközés  
Remove Loop =	Hurok eltávolítása 
Cut SilkScreen =	Cut SilkScreen  
Grid =	Rács 
Grid 90 =	Rács 90 
Grid 45 =	Rács 45 
Copper Zone =	Réz zóna  
Visible =	Látható 
Invisible =	Láthatatlan 
Ignore =	Figyelmen kívül hagyás 
Block =	Blokk 
RoundTrack =	RoundTrack 
	
#Track	#Track
Track Properties =	Tulajdonságok nyomon követése 
Layer =	Réteg 
Net =	Nettó 
Start X =	X indítása 
Start Y =	Y indítása 
End X =	X vége 
End Y =	Y vége 
ID =	ID 
	
#Pad Properties	#Pad tulajdonságok
Pad Properties =	Pad tulajdonságai  
Shape =	Alak 
Hole(D) =	Lyuk(D) 
Center X =	X középpont 
Center Y =	Közép Y 
Round =	Kerek 
Oval =	Ovális 
Hole Shape =	Furat alakja  
Slot =	Foglalat 
Hole(Length) =	Furat(Hossz) 
Plated =	Bevont 
None =	Nincs 
Paste Mask Expansion =	  Maszkbõvítés beillesztése  
Solder Mask Expansion =	Forrasztómaszk   bõvítés  
	
#Via Properties	#Via tulajdonságok
Via Properties =	Tulajdonságokon keresztül 
Diameter =	Átmérõ 
Drill Diameter =	Fúró átmérõje  
	
#Hole Properties	#Hole tulajdonságok
Hole Properties =	Furat tulajdonságai  
	
	
#TEXT	#TEXT
Text Properties =	Szövegtulajdonságok  
Line Width =	Vonalszélesség  
Rotation =	Rotáció 
Fonts Management =	Betûtípusok kezelése 
	
#Dimension Attributes	#Dimension attribútumok
Dimension Attributes =	Dimenzióattribútumok  
	
#Footprint Attributes	#Footprint attribútumok
Component Attributes =	Összetevõattribútumok  
Display Prefix =	Elõtag megjelenítése 
Pin Name =	Pin neve  
Pin Number =	PIN-kód  
Spice Pin Number =	Fûszer pin  száma  
Graphics =	Grafika 
Pattern =	Minta 
	
#Arc Properties	#Arc tulajdonságok
Arc Properties =	Ív tulajdonságai  
Start Angle =	Indítási szög  
End Angle =	Végszög   
Rotation Direction =	Forgási irány  
	
#Rect Properties	#Rect tulajdonságok
Rect Properties =	Ingatlanok helyesbítése  
Round radius =	Kerek sugár  
	
#Circle Properties	#Circle tulajdonságok
Circle Properties =	Kör tulajdonságai  
Radius =	Sugár 
	
#CopperArea Properties	#CopperArea tulajdonságok
CopperArea Properties =	CopperArea tulajdonságai  
Clearance =	Clearance 
Pad Connection =	Pad kapcsolat  
Direct =	Közvetlen 
Spoke =	Küllõ 
Keep Island =	Tartsa sziget 
Fill Style =	Kitöltési stílus  
CopperArea conflict: copper area outlines in same layer with different net names must not overlap =	CopperArea ütközés:  a rézterület    körvonalai ugyanabban a rétegben,  különbözõ     hálónevekkel nem  fedhetik  át   
"Copper area rebuild complete! You can set ""Copper Zone"" as ""Visible"" at the right-hand property panel after single click the empty area. ="	"Réz terület  újjáépítése  kész! A    jobb oldali     tulajdonságpanelen  a ""Réz  zóna"" látható  ""   néven állítható  be, miután  egyetlen kattintással a  kiürített  területre kattintott . "
Please create board outline first. =	Elõször hozzon létre  tábla  vázlatot  . 
Board outlines are not closed. =	A tábla körvonalai    nincsenek  lezárva.
Rebuild CopperArea =	Rebuild CopperArea  
Edit Points =	Pontok szerkesztése 
Direct =	Közvetlen 
Spoke =	Küllõ 
No Solid =	Nincs szilárd  
Board Cutout =	Táblakivágás  
Solid =	Szilárd 
[copperArea]	[copperArea]
None =	Nincs 
[/copperArea]	[/copperArea]
	
#Custom Attributes	#Custom attribútumok
Custom Attributes =	Egyéni attribútumok  
Fixed Attributes =	Rögzített attribútumok  
Add new parameter =	Új  paraméter hozzáadása 
Add New Parameter =	Új paraméter hozzáadása 
Add New Supplier =	Új szállító hozzáadása 
Mounted =	Szerelt 
Unknown =	Ismeretlen 
	
Custom =	Egyéni 
Scan the QR code below and open it on the mobile side =	Szkennelje be   az  alábbi  QR-kódot,    és  nyissa  ki  a  mobil  oldalon  
How to create a single layer PCB =	 Hogyan hozzunk  létre egy réteg    PCB 
Currently doesn't support layout single layer directly, please refer at: =	Jelenleg nem  támogatja az elrendezés  egyrétegû    közvetlenül,kérjük,    olvassa  el:
	
#Dialog Register	#Dialog nyilvántartás
Create an account =	Fiók létrehozása 
Username =	Felhasználónév 
Password =	Jelszó 
Confirm Password =	Jelszó megerõsítése 
Email =	E-mail 
Please read this before you register =	Kérjük, olvassa el  ezt,  mielõtt    regisztrálna  
Hi {username} =	Szia {felhasználónév} 
	
#Dialog lostPassword	#Dialog elveszettPassword
Lost Password... =	Elveszett jelszó... 
Find the password using your email =	Keresse meg a  jelszót  az  e-mail  használatával 
	
	
	
#Dialog Login	#Dialog Bejelentkezés
Login =	Bejelentkezés 
Username or Email =	Felhasználónév vagy  e-mail 
Remember Me =	Emlékezz rám  
Third party =	Harmadik fél  
Login and Register =	Bejelentkezés és regisztráció  
Your login information seems expired, please login again. Don't need to close the opening files, you can continue to save them after login. =	A bejelentkezési  adatai  lejártnak tûnnek, kérjük,   jelentkezzen be újra. Nem  kell    bezárnia    a  nyitófájlokat, a bejelentkezés után  is     mentheti    õket.  
	
#Dialog Reset Password	#Dialog jelszó alaphelyzetbe állítása
Reset a password using your email =	Jelszó alaphelyzetbe   állítása az e-mail  használatával   
Your registered email =	A regisztrált  e-mail 
	
#Dialog Reaction	#Dialog reakció
Re-send an activation code to your email =	Küldjön újra egy aktiváló    kódot az e-mail  címére   
	
#Dialog Invite	#Dialog meghívó
Invite friends to register =	Barátok  meghívása regisztrációra    
Your friend's email =	A barátod  e-mailje 
	
#Dialog Add A New Parameter	#Dialog új paraméter hozzáadása
Add a new parameter =	Új   paraméter hozzáadása 
Key =	Kulcs 
Value.new_para =	Value.new_para 
In BOM =	És AJ 
Add into BOM =	Hozzáadás az anyagjegyzékbe  
Invalid key =	Érvénytelen kulcs  
This field is required. =	Ez a  mezõ szükséges. 
	
#Dialog Change Your Password	#Dialog   jelszó módosítása
Change your password =	Jelszó    módosítása 
Old password =	Régi jelszó  
New Password =	Új jelszó  
Confirm Password =	Jelszó megerõsítése 
	
#Dialog Create New Design	#Dialog új design létrehozása
Save as a New Project =	Mentés   új projektként 
Save as a schematic =	Mentés    sematikusként  
Save as Symbol =	Mentés szimbólumként    
Save as a spice Symbol =	Mentés fûszer  szimbólumként     
Save as a spice subckt =	Mentés fûszer  subckt      
YOU MUST CREATE A SPICE SYMBOL WITH EXACTLY THE SAME NAME AS THIS SUBCKT =	LÉTRE KELL HOZNIA EGY FÛSZER SZIMBÓLUMOT, AMELYNEK NEVE PONTOSAN UGYANAZ, MINT EZ A SUBCKT 
Save as a PCB file =	Mentés   PCB-fájlként 
Save as Footprint =	Mentés lábnyomként    
Save as a Schematic Module =	Mentés sematikus  modulként     
Save as a PCB Module =	Mentés PCB  modulként    
Save as 3D Model =	Mentés 3D  modellként   
Save as a WaveForm =	Mentés WaveForm      
Title =	Cím 
Share =	Megosztás 
Add file =	Fájl hozzáadása 
Visibility =	Láthatóság 
Allow Comments =	Megjegyzések engedélyezése 
Public (Anyone can see this project but only you can modify it.) =	Nyilvános (  Bárki  láthatja    ezt a  projektet,  de  csak  ön  módosíthatja  .) 
Private (Only you can see and modify this project) =	Privát (Csak  Ön    láthatja  és  módosíthatja ezt a  projektet) 
Create new project success! =	Hozzon létre új projektsikereket!  
You can now create files under this project =	Most  már  létrehozhat  fájlokat  a  projekt   
This file must be saved under a project, choose other project or create a new project =	Ezt a fájlt egy projekt alá kell menteni,  másik  projektet kell    választania,   vagy új projektet kell létrehozni  
Please login to save this kind of document =	Kérjük, jelentkezzen be,  hogy  mentse  az ilyen    típusú  dokumentum  
Duplicated project title =	Duplikált projekt  címe  
#Duplicated document title	#Duplicated dokumentum   címe
Project does not exist =	A  projekt nem  létezik  
Document does not exist =	A  dokumentum nem  létezik  
document not exists =	dokumentum nem  létezik  
	
Categories =	Kategóriák 
Project =	Projekt 
Short description =	Rövid leírás  
Content =	Tartalom 
Modify this project info. =	Módosítsa ezt a projektinformációt.   
Modify this file info. =	Módosítsa ezt a fájlinformációt.   
Notice =	Megjegyzés 
Search for it before creating a new one. =	Keresse meg,    mielõtt   létrehozna  egy  újat .
Manufacturer Part Number =	Gyártó  cikkszáma  
Supplier =	Szállító 
Or =	Vagy 
Supplier Part =	Szállítói rész 
Supplier Part Number =	Szállítói cikkszám    
Link =	Link 
link =	link 
The professional function please refer at: =	A szakmai  funkció  kérjük,  olvassa  el:
	
#Dialog Clone My Part	#Dialog klónozás  a részem  
#Clone it to a project	#Clone egy   projekthez  
#Clone it, then edit it	#Clone,  majd  szerkessze  
Clone your file =	A fájl klónozása  
	
#Dialog Subckt	#Dialog Subckt
Attach a Subckt to this spice symbol =	Csatoljon egy  subckt-et  ehhez a  fûszer  szimbólumhoz    
Subckt string =	Subckt karakterlánc  
Spice symbol title just allow [0-9][a-z][A-Z] and _ =	Spice szimbólum  címe  csak lehetõvé teszi  [0-9][a-z][A-Z] és _ 
	
#Design Manager	#Design menedzser
Design Manager =	Design Manager 
Nets =	Hálók 
DRC Errors =	KDK hibák  
Are you sure you want to unroute this net? =	  Biztosan  ki  akarja   küszöbön venni ezt a  hálót?  
Unroute =	Unroute 
Track Length =	Vágány hossza  
Via/Hole Outer Size =	Via/Hole  külsõ  méret  
Filter nets =	Szûrõhálók  
Design Rule Checking =	Tervezési szabály  ellenõrzése  
Board Outline =	Tábla vázlata 
Plane Zone =	Sík zóna  
[drcRule]	[drcRule]
Width =	Szélesség 
DRC Width =	DRC szélesség  
Length =	Hossz 
DRC Length =	KDK hossza  
Drill Diameter =	Fúró átmérõje  
DRC Drill Diameter =	DRC fúró átmérõje  
Diameter =	Átmérõ 
DRC Diameter =	KDK átmérõ  
Object =	Objektum 
DRC Clearance =	KDK clearance  
[/drcRule]	[/drcRule]
#It will take a while to unroute this net, do you want to continue?	#It eltart    egy    ideig,   amíg kioldja ezt a  hálót,      folytatja?  
More than one netlabel is found in wire, please checked whether this is correct, if you design it on purpose, please ignore this warning. =	Több     netlabel  található     a  huzalban, kérjük,   ellenõrizze, hogy    ez  helyes-e ,  ha  szándékosan tervezte  meg , kérjük,   hagyja figyelmen kívül  ezt a  figyelmeztetést. 
Incomplete net, a complete net should contain two or more pins, if you design it on purpose, please ignore this warning. =	Hiányos háló, a  teljes      hálónak  két  vagy  több  csapot kell  tartalmaznia ,  ha  szándékosan tervezi  , kérjük,   hagyja figyelmen kívül  ezt a  figyelmeztetést. 
This netlabel is not connected with any pin. =	Ez a  netlabel nincs  csatlakoztatva  semmilyen  tûhöz.  
Incomplete connection, please check. =	Hiányos kapcsolat,  kérjük,  ellenõrizze.
The clearance between two objects is less than the Design Rule Checking (DRC) clearance which has different nets. =	A két  objektum  közötti távolság  kisebb,  mint  a  tervezési  szabályellenõrzés    (KDK)  távolsága,    amely különbözõ  hálókkalrendelkezik. 
The diameter is less than Design Rule Checking (DRC) diameter =	Az átmérõ  kisebb,  mint a tervezési  szabályellenõrzés    (DRC)  átmérõje  
The drill diameter is less than Design Rule Checking (DRC) drill diameter =	A fúró átmérõje  kisebb,  mint  a tervezési  szabályellenõrzés    (DRC) fúró  átmérõje  
The track length is longer than Design Rule Checking (DRC) track length =	A pálya  hossza hosszabb,  mint  a  tervezési  szabályellenõrzés    (DRC)  sáv  hossza  
The track width is less than Design Rule Checking (DRC) track width =	A sáv  szélessége  kisebb,  mint a tervezési  szabályellenõrzés    (DRC)  sávszélesség   
	
#Dialog Simulation	#Dialog szimuláció
Show your simulation report =	Szimulációs    jelentés  megjelenítése 
Download netlist =	Letöltés netlist  
Run =	Futtatás 
Components =	Összetevõk 
	
#Dialog Import	#Dialog Importálás
Import file from your computer =	Fájl importálása a számítógéprõl  
Maximum file size: 30 MB =	Maximális fájlméret: 30 MB 
Maximum file size: 100 MB =	Maximális fájlméret: 100 MB 
Chose file =	Kiválasztott fájl 
File Operation =	Fájlmûvelet   
Import File =	Fájl importálása 
Extract Libs =	Kivonat Libs  
Import File and Extract Libs =	Fájl importálása és kivonat libs  
File type =	Fájl típusa  
The file size is too large. =	A fájl mérete   túl  nagy. 
Please selected the file type. =	Válassza ki  a fájltípust 
No component was found! =	Nem   található összetevõ ! 
Import successfully =	Importálás sikeresen  
Import failed =	Az importálás sikertelen  
Click OK to continue with the import =	Kattintson az OK gombra      az  importálás  
Select None =	Válassza a Nincs  
	
#Dialog Modify Symbol Information	#Dialog Szimbólumadatok   módosítása
Modify symbol information =	Szimbólumadatok   módosítása 
Spice Prefix =	Spice elõtag 
Hide Pin =	Pin elrejtése 
Pin Manager =	Pin Manager 
When a power pin is hidden, it will be marked as netlabel, you don't need to wire it. If you use it as simulation, please show it or create a GND/VCC Net for it. =	Ha egy    táptû el van rejtve,  akkor   netlabel címkével  lesz   megjelölve,  nem  kell  átdrótoznia.      Ha    szimulációként   használja,   kérjük,  mutassa  meg,  vagy  hozzon létre  egy GND / VCC netet    .  
Assign =	Hozzárendelés 
Supplier.bom =	Supplier.bom 
LCSC.bom =	LCSC.bom 
Price =	Ár 
Quantity.bom =	Quantity.bom 
Package.bom =	Package.bom 
Components.bom =	Components.bom 
Manufacturer Part.bom =	Gyártó Part.bom  
Manufacturer.bom =	Manufacturer.bom 
	
One-click Purchasing at LCSC =	Egy kattintásos vásárlás az  LCSC-nél   
Order Parts/Check Stock =	Alkatrészekmegrendelése /Készlet ellenõrzése 
Export BOM =	Anyagjegyzék exportálása 
Export PCB BOM =	PCB-anyagjegyzék exportálása 
Export Schematic BOM =	Sematikus anyagjegyzék  exportálása 
ID.bom =	ID.bom 
Name.bom =	Name.bom 
[bom]	[jó]
Name =	Név 
LCSC Assembly =	LCSC összeszerelés 
Value =	Érték 
ID =	ID 
Supplier =	Szállító 
LCSC =	LCSC 
Price =	Ár 
Quantity =	Mennyiség 
Package =	Csomag 
Components =	Összetevõk 
Manufacturer =	Gyártó 
[/bom]	[/jó]
Manufacturer Part =	Gyártói rész 
	
#Dialog Run	#Dialog futás
Run your simulation =	A   szimuláció futtatása 
Transient =	Átmeneti 
Maximum Timestep =	Maximális idõbélyeg  
Stop Time =	Stop Time 
Start Time =	Kezdési idõ 
	
AC Analysis =	AC elemzés  
Type of Sweep =	A sweep  típusa  
Number of points =	Pontok  száma  
Start Frequency =	Indítási gyakoriság  
Stop Frequency =	Stop frequency  
	
DC sweep =	EGYENÁRAMú sweep  
Source to Sweep =	Forrás   sweep  
Start Value =	Kezdõ érték  
Stop Value =	Stop érték  
Increment =	Növekmény 
DC Transfer =	EGYENÁRAMú átvitel  
Output =	Kimenet 
Source =	Forrás 
	
DC op pnt =	DC pnt  
Compute the DC operating point treating capacitances as opens and inductances as shorts =	Számítsa ki az  egyenáramú  mûködési  pontot, amely a kapacitásokat  nyitásként, az induktance-eket  pedig    rövidnadrágként  kezeli    
	
#Dialog Share Info	#Dialog adatok megosztása
Active File =	Aktív fájl 
Active Project =	Aktív projekt 
Readonly =	Readonly 
Editable =	Szerkeszthetõ 
Active file's owner project page =	Az aktív fájl tulajdonosának   projektoldala    
Active project editor page =	Aktív projektszerkesztõ  lap  
	
#Dialog Document Recovery	#Dialog   dokumentum-helyreállítás
All Projects =	Minden projekt  
Document Recovery =	Dokumentum-helyreállítás  
Unsaved files =	Nem mentett fájlok  
Please select a file! =	Válasszon ki  egy fájlt! 
Please expand the folder first, then select a document to recover. =	Elõször bontsa ki  a  mappát,  majd  jelöljön ki  egy    helyreállítandó   dokumentumot 
Are you sure you want to remove this backup? =	  Biztosan        eltávolítja  ezt a biztonsági mentést? 
	
#Dialog Find Libs	#Dialog Libs keresése
Search =	Keresés 
Search Results =	Keresési eredmények  
Search and press Enter =	Keresés és  nyomja le az Enter 
Keywords at least 3 characters =	Kulcsszavak   legalább  3  karakter  
Assembled =	Összeszerelve 
Verified =	Ellenõrzött 
In stock =	Raktáron  
{page} of {pagecount} pages =	{oldal} a {pagecount} oldalak  
Common Modules =	Közös modulok  
User Contributions =	Felhasználói hozzájárulások  
More =	Több 
Add Favorite =	Kedvenc hozzáadása 
Remove Favorite =	Kedvenc  eltávolítása 
Add Sub Part =	Rész  hozzáadása 
Untagged =	Nem zacskózatlan 
Package =	Csomag 
package =	csomag 
Title(PartNO) =	Cím(PartNO) 
No Data! =	Nincs adat! 
Quantity =	Mennyiség 
Manufacturer Part =	Gyártói rész 
manufacturer Part =	gyártó Rész 
Manufacturer =	Gyártó 
manufacturer =	gyártó 
voltage =	feszültség 
Library =	Könyvtár 
LCSC Assembled =	LCSC Összeszerelve  
JLCPCB Assembled =	JLCPCB Összeszerelve  
User Contributed =	Felhasználó hozzájárult  
Symbol =	Szimbólum 
Follow =	Követés 
Types =	Típusok 
Classes =	Osztályok 
power =	teljesítmény 
Power =	Teljesítmény 
LCSC Part# =	LCSC rész# 
Stock =	Készlet 
Report Error... =	Jelentési hiba... 
Report Error =	Jelentési hiba  
Thanks for your feedback! =	Köszönöm  a  visszajelzést!
Report error success, thanks for your report! =	Jelentés hiba  siker,    köszönöm  a  jelentést!
The content must be at least 2 characters! =	A tartalomnak legalább    2  karakternek kell lennie ! 
This library is user contributed, please check before using. =	Ez a  könyvtár a felhasználó által hozzájárult, kérjük,    ellenõrizze,  mielõtt  a.
[lib]	[lib]
All =	Minden 
System =	Rendszer 
Personal =	Személyes 
Created =	Létrehozva 
Favorite =	Kedvenc 
No Team found. Please join or create a team first. =	Nem találhatócsapat. Elõször  csatlakozzon  vagy hozzon létre  egy csapatot  . 
Create a team =	Csapat létrehozása 
No follow user found. Please follow your friend first. =	Nem található követõ  felhasználó.  Kérjük,  kövesse  a  barátja  elõször.
[/lib]	[/lib]
	
	
BUY =	VÁSÁRLÁS 
In Stock =	Raktáron 
Out of Stock =	Készleten kívül 
Minimum =	Minimum 
Distributor =	Forgalmazó 
	
Capacitance =	Kapacitás 
Frequency Tolerance =	Frekvenciatûrés   
Power (Watts) =	Teljesítmény (Watt)
Power - Max =	Teljesítmény - Max 
Frequency =	Gyakoriság 
Voltage Rating(Vdc,Vac) =	Feszültségérték (Vdc,Vac) 
Voltage =	Feszültség 
Current Rating =	Aktuális értékelés  
Rated current =	Névleges áram  
Resistance (Ohms) =	Ellenállás (Ohms) 
Resistance(Ohms) =	Ellenállás(Ohms) 
Inductance =	Induktance 
FET Type =	FET típus  
Current Rating(Max) =	Aktuális értékelés(max) 
Impedance @ Frequency =	Impedancia @  Frekvencia  
Voltage - Input (Max) =	Feszültség - Bemenet (Max) 
Voltage - Input (Min) =	Feszültség - Bemenet (Min) 
Voltage - Supply =	Feszültség -  Tápellátás  
Voltage - Max =	Feszültség - Max 
Current - Output =	Áram - Kimenet 
	
#Dialog Export Your Works	#Dialog exportálja mûveit  
Export your works =	Mûvei exportálása    
Export to =	Exportálás   
Zoom =	Nagyítás 
Image Type =	Kép típusa  
Qualify =	Kvalifikáció 
0 means real size =	0 valódi  méretet jelent  
Merged layer =	Egyesített réteg  
Separated layer =	Elválasztott réteg  
Paged layer =	Lapozott réteg  
Layer =	Réteg 
Export =	Exportálás 
Mirror =	Tükör 
TopLayer =	TopLayer 
BottomLayer =	BottomLayer 
TopSilkLayer =	TopSilkLayer 
Protractor Attributes =	Szögmérõ attribútumok  
BottomSilkLayer =	BottomSilkLayer 
	
BoardOutLine =	BoardOutLine 
TopAssembly =	TopAssembly 
BottomAssembly =	BottomAssembly 
Mechanical =	Mechanikus 
DocumentLayer =	DocumentLayer 
Inner{number} =	Belsõ{szám}
Substrate{number} =	Szubsztrátum{szám} 
Color =	Szín 
Full Color =	Teljes szín  
Canvas Setting =	Vászon beállítása  
Full Graphics =	Teljes grafika  
Assembly Drawings =	Összeállítási rajzok  
Object Outlines =	Objektum körvonalai  
Invalid file format =	Érvénytelen fájlformátum    
Failed to export file =	Nem sikerült exportálni a  fájlt 
Download now =	Letöltés most  
Wire Width =	Huzal szélessége  
Sheet =	Lap 
Merged sheet =	Egyesített lap  
Separated sheet =	Elválasztott lap  
Engine =	Motor 
Exporting PDF =	PDF exportálása 
Export 3D Model =	3D modell exportálása  
[exportDocument]	[exportDocument]
Size =	Méret 
[/exportDocument]	[/exportDocument]
	
#Dialog Import Changes	#Dialog importálási módosítások
Confirm Importing changes information =	Módosítások    importálásának megerõsítése 
You can't undo this operation, Please run a Design Rule Checking (DRC) after this operation. =	A   mûveletet  nem  vonhatja  vissza ,  A  mûvelet után  futtasson tervezési szabályellenõrzést  (DRC).   
Apply Changes =	Módosítások alkalmazása 
This is a simple Design Rule Checking (DRC). =	Ez egy  egyszerû  tervezési  szabályellenõrzés    (DRC). 
It just can help you to find the obvious errors =	Ez csak  segíthet    megtalálni  a  nyilvánvaló  hibákat      
There are some unfinished nets, do you want to check the nets first? =	Van  néhány  befejezetlen  hálók,        szeretné  ellenõrizni  a  hálók  elõször?
Yes, Check Nets =	Igen,  Hálók ellenõrzése  
No, Keep Going =	Nem, folytasd    
	
#Dialog Layer Manager	#Dialog rétegkezelõ  
Configured =	Konfigurálva 
Layer Name =	Réteg neve  
TopPasterLayer =	TopPasterLayer 
BottomPasterLayer =	BottomPasterLayer 
TopSolderLayer =	TopSolderLayer 
BottomSolderLayer =	BottomSolderLayer 
TopPasteMaskLayer =	TopPasteMaskLayer 
BottomPasteMaskLayer =	BottomPasteMaskLayer 
TopSolderMaskLayer =	TopSolderMaskLayer 
BottomSolderMaskLayer =	BottomSolderMaskLayer 
ComponentShapeLayer =	ComponentShapeLayer 
LeadShapeLayer =	LeadShapeLayer 
ComponentMarkingLayer =	ComponentMarkingLayer 
Ratlines =	Ratlines 
Ratlines Color =	Ratlines Szín  
Manage Colors =	Színek kezelése 
BoardOutline =	BoardOutline 
Multi-Layer =	Többréteg  
Hole =	Lyuk 
DRCError =	DRCError 
Setting =	Beállítás 
Drawing area =	Rajzterület   
Export area =	Exportálási terület  
Transparency(%) =	Áttetszõség(%) 
Copper Layer =	Rézréteg   
Signal =	Jel 
Plane =	Sík 
Non-Signal =	Nemjel  
Other =	Egyéb 
Please delete all the objects of the layers first! The layers are: =	Elõször  törölje  a   rétegek  összes  objektumát!    A  rétegek:  
You are converting Signal Layer to Plane Layer, There're some non-track objects remain on following layers. Please delete the objects manually on the canvas. =	 A      Jelréteget    síkréteggé konvertálja ,  Néhány  nem sávos  objektum a következõ  rétegeken  marad.   Törölje  manuálisan  az  objektumokat    a  vásznon.   
Please delete all the objects of this layer first! =	Elõször törölje  a   réteg   összes  objektumát  ! 
	
#Dialog Fabrication Output	#Dialog gyártási   kimenet
Create Files =	Fájlok létrehozása 
Check your {0}Gerber files{1} carefully before sending them to the factory =	Ellenõrizze a  {0}Gerber  fájlokat{1}  gondosan,  mielõtt  elküldené  õket  a  gyárba    
Download free Gerber Viewer (gerbv) =	Letöltés ingyenes Gerber  Viewer  (gerbv)
Before generating the Gerber files =	A   Gerber-fájlok    létrehozása elõtt 
Please check the packages size and orientation carefully. =	Kérjük, gondosan ellenõrizze  a  csomagok  méretét  és  tájolását .
Please check for Design Rule Checking (DRC) errors in the Design Manager. =	Ellenõrizze, hogy a Tervezési  szabályellenõrzés    (DRC)  hibákat   a  Tervezõkezelõben keresse.  
Please rebuild the copper area after modifying tracks and packages. =	Kérjük, a nyomvonalak  és csomagok módosítása  után  építse újra  a  rézterületet .   
After generating the Gerber file, please use the {0}Gerber Viewer{1} to check whether it conforms to the design requirements. =	A Gerber fájl  létrehozása   után használja    a  {0}Gerber  Viewer{1} annak       ellenõrzésére,  hogy  megfelel-e a tervezési követelményeknek.   
Order PCB/SMT at JLCPCB =	PCB/SMT  megrendelése a  JLCPCB-nél 
Found the complicated polygon object can not be generated at Gerber, please remove or replace =	Megállapította, hogy a  bonyolult  sokszög  objektum    nem  generálható    a Gerbernél,  kérjük,  távolítsa el  vagy  cserélje ki    
ID: {id}, Object: {object}, Location: {location} =	ID: {id},  Objektum: {objektum},  Hely: {hely} 
	
#Dialog DRC	#Dialog KDK
Item =	Elem 
Value =	Érték 
value =	érték 
Unit =	Egység 
Track Width =	Sáv szélessége  
Track to Track =	Track to  Track  
Track to Pad =	Track to  Pad 
Pad to Pad =	Pad to  Pad 
Via to Via =	Via   Via  
Via Hole Size =	Via Hole  Size  
Realtime DRC =	Valós idejû DRC 
{0} is too small! =	{0} túl  kicsi!
Invalid DRC Rule =	Érvénytelen KDK-szabály    
Rule =	Szabály 
Via Diameter =	Átmérõn keresztül 
Via Drill Diameter =	Fúró  átmérõje  
Net List =	Nettó lista 
Rule =	Szabály 
Set Rule =	Szabály  beállítása 
Check Object to Copper Area =	Ellenõrizze az objektumot    rézterület    
Show DRC Boundary while Routing =	DRC-határ megjelenítése útválasztás  közben  
Check Object to Board Outline =	Objektum ellenõrzése a táblára    vázlat 
